mechanism,missing_rate,imputer,mean_rmse,med_rmse,ac_time,it_time,memory
S1,30,tree-ad-ks_a_0001-w_30000-s_5000,1.53,1.0,0.07,0.0006,0.74
S1,30,tree-ad-ks_a_0001-w_30000-s_10000,1.53,1.0,0.07,0.0006,0.74
S1,30,tree-ad-ks_a_0001-w_50000-s_5000,1.53,1.0,0.07,0.0006,0.74
S1,30,tree-ad-ks_a_0001-w_50000-s_10000,1.53,1.0,0.07,0.0006,0.74
S1,30,tree-ad-ks_a_0005-w_30000-s_5000,1.53,1.0,0.07,0.0006,0.74
S1,30,tree-ad-ks_a_0005-w_30000-s_10000,1.53,1.0,0.07,0.0006,0.74
S1,30,tree-ad-ks_a_0005-w_50000-s_5000,1.53,1.0,0.08,0.0007,0.74
S1,30,tree-ad-ks_a_0005-w_50000-s_10000,1.53,1.0,0.08,0.0007,0.74
S2,30,tree-ad-ks_a_0001-w_30000-s_5000,,,0.08,0.0007,0.75
S2,30,tree-ad-ks_a_0001-w_30000-s_10000,,,0.08,0.0007,0.75
S2,30,tree-ad-ks_a_0001-w_50000-s_5000,,,0.07,0.0006,0.75
S2,30,tree-ad-ks_a_0001-w_50000-s_10000,,,0.08,0.0007,0.75
S2,30,tree-ad-ks_a_0005-w_30000-s_5000,,,0.08,0.0006,0.75
S2,30,tree-ad-ks_a_0005-w_30000-s_10000,,,0.08,0.0007,0.75
S2,30,tree-ad-ks_a_0005-w_50000-s_5000,,,0.07,0.0006,0.75
S2,30,tree-ad-ks_a_0005-w_50000-s_10000,,,0.08,0.0006,0.75
S3,30,tree-ad-ks_a_0001-w_30000-s_5000,,,0.08,0.0007,0.75
S3,30,tree-ad-ks_a_0001-w_30000-s_10000,,,0.07,0.0006,0.75
S3,30,tree-ad-ks_a_0001-w_50000-s_5000,,,0.07,0.0006,0.75
S3,30,tree-ad-ks_a_0001-w_50000-s_10000,,,0.09,0.0007,0.75
S3,30,tree-ad-ks_a_0005-w_30000-s_5000,,,0.09,0.0007,0.75
S3,30,tree-ad-ks_a_0005-w_30000-s_10000,,,0.07,0.0006,0.75
S3,30,tree-ad-ks_a_0005-w_50000-s_5000,,,0.08,0.0007,0.75
S3,30,tree-ad-ks_a_0005-w_50000-s_10000,,,0.07,0.0006,0.75
