mechanism,missing_rate,imputer,mean_rmse,med_rmse,ac_time,it_time,memory
S1,30,Mean,15.31,11.8,106.02,0.0003,1894.19
S1,30,HT,14.74,9.4,235.16,0.0006,3081.75
S1,30,HAT-ADWIN_d_0002-c_32-mw_10000,15.06,9.0,467.05,0.0011,2659.26
S1,30,HAT-ADWIN_d_0002-c_32-mw_30000,14.61,8.8,516.11,0.0013,2815.11
S1,30,HAT-ADWIN_d_0002-c_100-mw_10000,16.14,9.2,443.28,0.0011,2624.65
S1,30,HAT-ADWIN_d_0002-c_100-mw_30000,14.46,8.4,506.87,0.0012,2792.48
S1,30,HAT-ADWIN_d_0002-c_300-mw_10000,15.81,9.2,425.34,0.0011,2651.76
S1,30,HAT-ADWIN_d_0002-c_300-mw_30000,15.09,8.8,468.76,0.0011,2746.18
S1,30,HAT-ADWIN_d_0002-c_500-mw_10000,15.32,9.4,415.75,0.0011,2669.84
S1,30,HAT-ADWIN_d_0002-c_500-mw_30000,14.76,8.8,509.16,0.0013,2839.04
S1,30,HAT-ADWIN_d_0002-c_600-mw_10000,15.9,8.8,437.06,0.0011,2670.26
S1,30,HAT-ADWIN_d_0002-c_600-mw_30000,15.0,8.8,485.37,0.0012,2765.26
S1,30,Mean,15.31,11.8,106.02,0.0003,1894.19
S1,30,HT,14.74,9.4,235.16,0.0006,3081.75
S1,30,HAT-ADWIN_d_0002-c_32-mw_10000,15.06,9.0,467.05,0.0011,2659.26
S1,30,HAT-ADWIN_d_0002-c_32-mw_30000,14.61,8.8,516.11,0.0013,2815.11
S1,30,HAT-ADWIN_d_0002-c_100-mw_10000,16.14,9.2,443.28,0.0011,2624.65
S1,30,HAT-ADWIN_d_0002-c_100-mw_30000,14.46,8.4,506.87,0.0012,2792.48
S1,30,HAT-ADWIN_d_0002-c_300-mw_10000,15.81,9.2,425.34,0.0011,2651.76
S1,30,HAT-ADWIN_d_0002-c_300-mw_30000,15.09,8.8,468.76,0.0011,2746.18
S1,30,HAT-ADWIN_d_0002-c_500-mw_10000,15.32,9.4,415.75,0.0011,2669.84
S1,30,HAT-ADWIN_d_0002-c_500-mw_30000,14.76,8.8,509.16,0.0013,2839.04
S1,30,HAT-ADWIN_d_0002-c_600-mw_10000,15.9,8.8,437.06,0.0011,2670.26
S1,30,HAT-ADWIN_d_0002-c_600-mw_30000,15.0,8.8,485.37,0.0012,2765.26
S2,30,Mean,19.88,20.0,101.37,0.0003,1893.95
S2,30,HT,19.45,15.2,255.12,0.0006,3070.17
S2,30,HAT-ADWIN_d_0002-c_32-mw_10000,22.26,16.4,487.57,0.0012,2632.95
S2,30,HAT-ADWIN_d_0002-c_32-mw_30000,19.91,15.0,518.8,0.0013,2777.31
S2,30,HAT-ADWIN_d_0002-c_100-mw_10000,22.14,16.0,451.36,0.0011,2645.81
S2,30,HAT-ADWIN_d_0002-c_100-mw_30000,19.36,15.0,491.2,0.0013,2775.32
S2,30,HAT-ADWIN_d_0002-c_300-mw_10000,21.96,15.8,476.06,0.0012,2677.13
S2,30,HAT-ADWIN_d_0002-c_300-mw_30000,19.18,14.8,479.03,0.0012,2804.97
S2,30,HAT-ADWIN_d_0002-c_500-mw_10000,21.77,16.0,439.8,0.0011,2642.95
S2,30,HAT-ADWIN_d_0002-c_500-mw_30000,19.24,15.0,498.8,0.0013,2837.53
S2,30,HAT-ADWIN_d_0002-c_600-mw_10000,21.6,15.6,419.61,0.0011,2638.17
S2,30,HAT-ADWIN_d_0002-c_600-mw_30000,19.51,15.0,455.52,0.0011,2779.8
S1,30,Mean,15.31,11.8,106.02,0.0003,1894.19
S1,30,HT,14.74,9.4,235.16,0.0006,3081.75
S1,30,HAT-ADWIN_d_0002-c_32-mw_10000,15.06,9.0,467.05,0.0011,2659.26
S1,30,HAT-ADWIN_d_0002-c_32-mw_30000,14.61,8.8,516.11,0.0013,2815.11
S1,30,HAT-ADWIN_d_0002-c_100-mw_10000,16.14,9.2,443.28,0.0011,2624.65
S1,30,HAT-ADWIN_d_0002-c_100-mw_30000,14.46,8.4,506.87,0.0012,2792.48
S1,30,HAT-ADWIN_d_0002-c_300-mw_10000,15.81,9.2,425.34,0.0011,2651.76
S1,30,HAT-ADWIN_d_0002-c_300-mw_30000,15.09,8.8,468.76,0.0011,2746.18
S1,30,HAT-ADWIN_d_0002-c_500-mw_10000,15.32,9.4,415.75,0.0011,2669.84
S1,30,HAT-ADWIN_d_0002-c_500-mw_30000,14.76,8.8,509.16,0.0013,2839.04
S1,30,HAT-ADWIN_d_0002-c_600-mw_10000,15.9,8.8,437.06,0.0011,2670.26
S1,30,HAT-ADWIN_d_0002-c_600-mw_30000,15.0,8.8,485.37,0.0012,2765.26
S2,30,Mean,19.88,20.0,101.37,0.0003,1893.95
S2,30,HT,19.45,15.2,255.12,0.0006,3070.17
S2,30,HAT-ADWIN_d_0002-c_32-mw_10000,22.26,16.4,487.57,0.0012,2632.95
S2,30,HAT-ADWIN_d_0002-c_32-mw_30000,19.91,15.0,518.8,0.0013,2777.31
S2,30,HAT-ADWIN_d_0002-c_100-mw_10000,22.14,16.0,451.36,0.0011,2645.81
S2,30,HAT-ADWIN_d_0002-c_100-mw_30000,19.36,15.0,491.2,0.0013,2775.32
S2,30,HAT-ADWIN_d_0002-c_300-mw_10000,21.96,15.8,476.06,0.0012,2677.13
S2,30,HAT-ADWIN_d_0002-c_300-mw_30000,19.18,14.8,479.03,0.0012,2804.97
S2,30,HAT-ADWIN_d_0002-c_500-mw_10000,21.77,16.0,439.8,0.0011,2642.95
S2,30,HAT-ADWIN_d_0002-c_500-mw_30000,19.24,15.0,498.8,0.0013,2837.53
S2,30,HAT-ADWIN_d_0002-c_600-mw_10000,21.6,15.6,419.61,0.0011,2638.17
S2,30,HAT-ADWIN_d_0002-c_600-mw_30000,19.51,15.0,455.52,0.0011,2779.8
S3,30,Mean,25.21,26.2,109.33,0.0003,1894.59
S3,30,HT,20.63,18.4,256.37,0.0006,3043.87
S3,30,HAT-ADWIN_d_0002-c_32-mw_10000,23.11,18.4,457.63,0.0012,2628.51
S3,30,HAT-ADWIN_d_0002-c_32-mw_30000,20.92,17.6,551.29,0.0014,2800.44
S3,30,HAT-ADWIN_d_0002-c_100-mw_10000,22.42,18.2,410.58,0.001,2642.82
S3,30,HAT-ADWIN_d_0002-c_100-mw_30000,21.01,17.8,506.44,0.0012,2786.14
S3,30,HAT-ADWIN_d_0002-c_300-mw_10000,23.16,19.2,441.44,0.0011,2632.04
S3,30,HAT-ADWIN_d_0002-c_300-mw_30000,21.79,18.8,516.4,0.0012,2806.13
S3,30,HAT-ADWIN_d_0002-c_500-mw_10000,22.96,18.4,450.34,0.0011,2650.59
S3,30,HAT-ADWIN_d_0002-c_500-mw_30000,21.0,17.8,473.73,0.0011,2793.26
S3,30,HAT-ADWIN_d_0002-c_600-mw_10000,21.84,17.6,441.52,0.0011,2660.21
S3,30,HAT-ADWIN_d_0002-c_600-mw_30000,21.65,18.6,517.99,0.0013,2827.91
