mechanism,method_group,imputer,mean_rmse,rank
S1,HAT_ADWIN,HAT-ADWIN_d_00001-c_300-mw_10000,12.17,1.0
S1,HAT_ADWIN,HAT-ADWIN_d_01-c_300-mw_10000,12.17,1.0
S1,HAT_ADWIN,HAT-ADWIN_d_0005-c_100-mw_10000,12.33,2.0
S1,HAT_ADWIN,HAT-ADWIN_d_001-c_100-mw_10000,12.33,2.0
S1,HAT_ADWIN,HAT-ADWIN_d_0002-c_100-mw_10000,12.33,2.0
S1,HAT_ADWIN,HAT-ADWIN_d_00001-c_500-mw_30000,12.83,3.0
S1,HAT_ADWIN,HAT-ADWIN_d_01-c_500-mw_30000,12.83,3.0
S1,HT,HT,11.8,1.0
S1,MEAN,Mean,11.92,1.0
S2,HAT_ADWIN,HAT-ADWIN_d_00001-c_300-mw_30000,13.64,1.0
S2,HAT_ADWIN,HAT-ADWIN_d_01-c_300-mw_30000,13.64,1.0
S2,HAT_ADWIN,HAT-ADWIN_d_00001-c_500-mw_30000,13.66,2.0
S2,HAT_ADWIN,HAT-ADWIN_d_01-c_500-mw_30000,13.66,2.0
S2,HAT_ADWIN,HAT-ADWIN_d_00001-c_400-mw_30000,14.22,3.0
S2,HAT_ADWIN,HAT-ADWIN_d_01-c_400-mw_30000,14.22,3.0
S2,HT,HT,14.69,1.0
S2,MEAN,Mean,14.44,1.0
S3,HAT_ADWIN,HAT-ADWIN_d_00001-c_300-mw_20000,16.39,1.0
S3,HAT_ADWIN,HAT-ADWIN_d_01-c_300-mw_20000,16.39,1.0
S3,HAT_ADWIN,HAT-ADWIN_d_00001-c_300-mw_30000,16.82,2.0
S3,HAT_ADWIN,HAT-ADWIN_d_01-c_300-mw_30000,16.82,2.0
S3,HAT_ADWIN,HAT-ADWIN_d_00001-c_400-mw_25000,17.04,3.0
S3,HAT_ADWIN,HAT-ADWIN_d_01-c_400-mw_25000,17.04,3.0
S3,HT,HT,17.54,1.0
S3,MEAN,Mean,21.79,1.0
