mechanism,method_group,imputer,mean_rmse,rank
S1,HAT_ADWIN,HAT-ADWIN_d_0002-c_100-mw_30000,14.46,1.0
S1,HAT_ADWIN,HAT-ADWIN_d_0002-c_32-mw_30000,14.61,2.0
S1,HAT_ADWIN,HAT-ADWIN_d_0002-c_500-mw_30000,14.76,3.0
S1,HT,HT,14.74,1.0
S1,MEAN,Mean,15.31,1.0
S2,HAT_ADWIN,HAT-ADWIN_d_0002-c_300-mw_30000,19.18,1.0
S2,HAT_ADWIN,HAT-ADWIN_d_0002-c_500-mw_30000,19.24,2.0
S2,HAT_ADWIN,HAT-ADWIN_d_0002-c_100-mw_30000,19.36,3.0
S2,HT,HT,19.45,1.0
S2,MEAN,Mean,19.88,1.0
S3,HAT_ADWIN,HAT-ADWIN_d_0002-c_32-mw_30000,20.92,1.0
S3,HAT_ADWIN,HAT-ADWIN_d_0002-c_500-mw_30000,21.0,2.0
S3,HAT_ADWIN,HAT-ADWIN_d_0002-c_100-mw_30000,21.01,3.0
S3,HT,HT,20.63,1.0
S3,MEAN,Mean,25.21,1.0
