mechanism,missing_rate,imputer,mean_rmse,med_rmse,ac_time,it_time,memory
S1,30,Mean,12.32,9.0,70.63,0.0003,1053.19
S1,30,HT,12.06,7.8,164.44,0.0006,1653.04
S1,30,HAT-KS_a_00001-w_10000-s_200,13.42,7.2,240.09,0.0009,1512.33
S1,30,HAT-KS_a_00001-w_10000-s_400,14.39,8.6,260.85,0.0009,1574.16
S1,30,HAT-KS_a_00001-w_10000-s_800,14.62,8.2,283.76,0.001,1683.95
S1,30,HAT-KS_a_00001-w_10000-s_1000,14.54,8.6,330.76,0.0011,1853.57
S1,30,HAT-KS_a_00001-w_20000-s_200,12.89,7.2,255.31,0.0009,1520.82
S1,30,HAT-KS_a_00001-w_20000-s_400,13.95,7.4,247.94,0.0009,1503.0
S1,30,HAT-KS_a_00001-w_20000-s_800,12.99,7.2,273.13,0.001,1617.56
S1,30,HAT-KS_a_00001-w_20000-s_1000,12.84,7.0,277.85,0.001,1616.66
S1,30,HAT-KS_a_00001-w_30000-s_200,12.62,7.4,264.52,0.0009,1524.63
S1,30,HAT-KS_a_00001-w_30000-s_400,12.24,7.0,253.76,0.0009,1537.97
S1,30,HAT-KS_a_00001-w_30000-s_800,12.71,7.2,261.05,0.0009,1554.94
S1,30,HAT-KS_a_00001-w_30000-s_1000,11.86,7.0,278.47,0.001,1619.16
S1,30,Mean,12.32,9.0,70.63,0.0003,1053.19
S1,30,HT,12.06,7.8,164.44,0.0006,1653.04
S1,30,HAT-KS_a_00001-w_10000-s_200,13.42,7.2,240.09,0.0009,1512.33
S1,30,HAT-KS_a_00001-w_10000-s_400,14.39,8.6,260.85,0.0009,1574.16
S1,30,HAT-KS_a_00001-w_10000-s_800,14.62,8.2,283.76,0.001,1683.95
S1,30,HAT-KS_a_00001-w_10000-s_1000,14.54,8.6,330.76,0.0011,1853.57
S1,30,HAT-KS_a_00001-w_20000-s_200,12.89,7.2,255.31,0.0009,1520.82
S1,30,HAT-KS_a_00001-w_20000-s_400,13.95,7.4,247.94,0.0009,1503.0
S1,30,HAT-KS_a_00001-w_20000-s_800,12.99,7.2,273.13,0.001,1617.56
S1,30,HAT-KS_a_00001-w_20000-s_1000,12.84,7.0,277.85,0.001,1616.66
S1,30,HAT-KS_a_00001-w_30000-s_200,12.62,7.4,264.52,0.0009,1524.63
S1,30,HAT-KS_a_00001-w_30000-s_400,12.24,7.0,253.76,0.0009,1537.97
S1,30,HAT-KS_a_00001-w_30000-s_800,12.71,7.2,261.05,0.0009,1554.94
S1,30,HAT-KS_a_00001-w_30000-s_1000,11.86,7.0,278.47,0.001,1619.16
S2,30,Mean,16.07,16.2,70.54,0.0003,1053.14
S2,30,HT,15.99,12.8,163.81,0.0006,1651.06
S2,30,HAT-KS_a_00001-w_10000-s_200,20.8,15.2,255.58,0.0009,1518.67
S2,30,HAT-KS_a_00001-w_10000-s_400,19.57,14.0,260.27,0.0009,1567.24
S2,30,HAT-KS_a_00001-w_10000-s_800,20.73,15.4,298.86,0.0011,1707.69
S2,30,HAT-KS_a_00001-w_10000-s_1000,20.71,15.4,311.67,0.0011,1830.18
S2,30,HAT-KS_a_00001-w_20000-s_200,17.68,12.8,264.62,0.0009,1549.22
S2,30,HAT-KS_a_00001-w_20000-s_400,17.59,13.4,263.8,0.0009,1577.99
S2,30,HAT-KS_a_00001-w_20000-s_800,17.11,13.2,286.43,0.001,1658.53
S2,30,HAT-KS_a_00001-w_20000-s_1000,17.25,12.8,271.79,0.0009,1616.9
S2,30,HAT-KS_a_00001-w_30000-s_200,17.16,12.4,259.65,0.0009,1542.81
S2,30,HAT-KS_a_00001-w_30000-s_400,17.37,12.3,273.65,0.001,1570.79
S2,30,HAT-KS_a_00001-w_30000-s_800,17.67,13.0,270.78,0.001,1601.67
S2,30,HAT-KS_a_00001-w_30000-s_1000,17.48,13.4,290.63,0.001,1639.36
S1,30,Mean,12.32,9.0,70.63,0.0003,1053.19
S1,30,HT,12.06,7.8,164.44,0.0006,1653.04
S1,30,HAT-KS_a_00001-w_10000-s_200,13.42,7.2,240.09,0.0009,1512.33
S1,30,HAT-KS_a_00001-w_10000-s_400,14.39,8.6,260.85,0.0009,1574.16
S1,30,HAT-KS_a_00001-w_10000-s_800,14.62,8.2,283.76,0.001,1683.95
S1,30,HAT-KS_a_00001-w_10000-s_1000,14.54,8.6,330.76,0.0011,1853.57
S1,30,HAT-KS_a_00001-w_20000-s_200,12.89,7.2,255.31,0.0009,1520.82
S1,30,HAT-KS_a_00001-w_20000-s_400,13.95,7.4,247.94,0.0009,1503.0
S1,30,HAT-KS_a_00001-w_20000-s_800,12.99,7.2,273.13,0.001,1617.56
S1,30,HAT-KS_a_00001-w_20000-s_1000,12.84,7.0,277.85,0.001,1616.66
S1,30,HAT-KS_a_00001-w_30000-s_200,12.62,7.4,264.52,0.0009,1524.63
S1,30,HAT-KS_a_00001-w_30000-s_400,12.24,7.0,253.76,0.0009,1537.97
S1,30,HAT-KS_a_00001-w_30000-s_800,12.71,7.2,261.05,0.0009,1554.94
S1,30,HAT-KS_a_00001-w_30000-s_1000,11.86,7.0,278.47,0.001,1619.16
S2,30,Mean,16.07,16.2,70.54,0.0003,1053.14
S2,30,HT,15.99,12.8,163.81,0.0006,1651.06
S2,30,HAT-KS_a_00001-w_10000-s_200,20.8,15.2,255.58,0.0009,1518.67
S2,30,HAT-KS_a_00001-w_10000-s_400,19.57,14.0,260.27,0.0009,1567.24
S2,30,HAT-KS_a_00001-w_10000-s_800,20.73,15.4,298.86,0.0011,1707.69
S2,30,HAT-KS_a_00001-w_10000-s_1000,20.71,15.4,311.67,0.0011,1830.18
S2,30,HAT-KS_a_00001-w_20000-s_200,17.68,12.8,264.62,0.0009,1549.22
S2,30,HAT-KS_a_00001-w_20000-s_400,17.59,13.4,263.8,0.0009,1577.99
S2,30,HAT-KS_a_00001-w_20000-s_800,17.11,13.2,286.43,0.001,1658.53
S2,30,HAT-KS_a_00001-w_20000-s_1000,17.25,12.8,271.79,0.0009,1616.9
S2,30,HAT-KS_a_00001-w_30000-s_200,17.16,12.4,259.65,0.0009,1542.81
S2,30,HAT-KS_a_00001-w_30000-s_400,17.37,12.3,273.65,0.001,1570.79
S2,30,HAT-KS_a_00001-w_30000-s_800,17.67,13.0,270.78,0.001,1601.67
S2,30,HAT-KS_a_00001-w_30000-s_1000,17.48,13.4,290.63,0.001,1639.36
S3,30,Mean,20.15,21.0,70.97,0.0003,1053.81
S3,30,HT,16.56,15.2,164.48,0.0006,1621.06
S3,30,HAT-KS_a_00001-w_10000-s_200,19.1,16.2,267.07,0.001,1538.6
S3,30,HAT-KS_a_00001-w_10000-s_400,19.2,16.0,284.12,0.001,1658.39
S3,30,HAT-KS_a_00001-w_10000-s_800,19.34,15.6,282.47,0.001,1735.38
S3,30,HAT-KS_a_00001-w_10000-s_1000,19.69,16.4,313.2,0.0012,1844.66
S3,30,HAT-KS_a_00001-w_20000-s_200,18.41,15.2,262.08,0.0009,1519.89
S3,30,HAT-KS_a_00001-w_20000-s_400,18.72,15.8,256.42,0.0009,1549.45
S3,30,HAT-KS_a_00001-w_20000-s_800,18.6,16.0,277.06,0.001,1624.09
S3,30,HAT-KS_a_00001-w_20000-s_1000,17.8,14.4,306.22,0.0011,1727.3
S3,30,HAT-KS_a_00001-w_30000-s_200,17.73,16.0,261.37,0.0009,1539.06
S3,30,HAT-KS_a_00001-w_30000-s_400,19.13,16.2,258.14,0.0009,1532.62
S3,30,HAT-KS_a_00001-w_30000-s_800,18.42,16.2,277.05,0.001,1579.87
S3,30,HAT-KS_a_00001-w_30000-s_1000,18.55,15.4,276.02,0.001,1594.79
S1,30,HAT-KS_a_00001-w_20000-s_600,16.7,9.2,309.65,0.0008,2843.91
S1,30,HAT-KS_a_00001-w_20000-s_2000,16.21,9.0,653.53,0.0015,5050.37
S1,30,HAT-KS_a_00001-w_20000-s_1500,16.72,9.6,477.65,0.0011,4157.62
S1,30,HAT-KS_a_00001-w_20000-s_3000,15.63,9.0,1821.73,0.0044,11563.97
S1,30,HAT-KS_a_00001-w_30000-s_600,15.57,9.0,308.74,0.0008,2830.97
S1,30,HAT-KS_a_00001-w_30000-s_2000,14.84,8.8,577.79,0.0014,4518.31
S1,30,HAT-KS_a_00001-w_30000-s_1500,15.69,9.0,441.93,0.001,3911.11
S1,30,HAT-KS_a_00001-w_30000-s_3000,16.11,9.2,1438.4,0.0032,9554.28
S1,30,HAT-KS_a_00001-w_20000-s_600,16.7,9.2,309.65,0.0008,2843.91
