mechanism,missing_rate,imputer,mean_rmse,med_rmse,ac_time,it_time,memory
S1,30,Mean,11.92,12.0,114.91,0.0003,1760.0
S1,30,HT,11.8,8.0,279.69,0.0008,2866.81
S1,30,HAT-PH_d_0005-t_500-mi_500,27.75,10.0,309.88,0.0008,2256.52
S1,30,HAT-PH_d_0005-t_500-mi_1000,23.25,9.0,298.56,0.0008,2248.45
S1,30,HAT-PH_d_0005-t_1000-mi_500,27.09,9.0,311.42,0.0008,2255.66
S1,30,HAT-PH_d_0005-t_1000-mi_1000,25.01,10.0,313.2,0.0008,2251.05
S1,30,HAT-PH_d_0005-t_1500-mi_500,30.78,11.0,313.06,0.0008,2256.32
S1,30,HAT-PH_d_0005-t_1500-mi_1000,28.71,10.0,316.85,0.0009,2250.02
S1,30,HAT-PH_d_001-t_500-mi_500,29.59,11.0,303.11,0.0008,2255.78
S1,30,HAT-PH_d_001-t_500-mi_1000,23.25,9.0,307.29,0.0008,2248.45
S1,30,HAT-PH_d_001-t_1000-mi_500,26.04,11.0,313.91,0.0008,2255.34
S1,30,HAT-PH_d_001-t_1000-mi_1000,24.18,10.0,316.65,0.0009,2253.9
S1,30,HAT-PH_d_001-t_1500-mi_500,25.54,10.0,315.65,0.0008,2257.52
S1,30,HAT-PH_d_001-t_1500-mi_1000,21.35,10.0,320.71,0.0009,2253.13
S1,30,Mean,11.92,12.0,114.91,0.0003,1760.0
S1,30,HT,11.8,8.0,279.69,0.0008,2866.81
S1,30,HAT-PH_d_0005-t_500-mi_500,27.75,10.0,309.88,0.0008,2256.52
S1,30,HAT-PH_d_0005-t_500-mi_1000,23.25,9.0,298.56,0.0008,2248.45
S1,30,HAT-PH_d_0005-t_1000-mi_500,27.09,9.0,311.42,0.0008,2255.66
S1,30,HAT-PH_d_0005-t_1000-mi_1000,25.01,10.0,313.2,0.0008,2251.05
S1,30,HAT-PH_d_0005-t_1500-mi_500,30.78,11.0,313.06,0.0008,2256.32
S1,30,HAT-PH_d_0005-t_1500-mi_1000,28.71,10.0,316.85,0.0009,2250.02
S1,30,HAT-PH_d_001-t_500-mi_500,29.59,11.0,303.11,0.0008,2255.78
S1,30,HAT-PH_d_001-t_500-mi_1000,23.25,9.0,307.29,0.0008,2248.45
S1,30,HAT-PH_d_001-t_1000-mi_500,26.04,11.0,313.91,0.0008,2255.34
S1,30,HAT-PH_d_001-t_1000-mi_1000,24.18,10.0,316.65,0.0009,2253.9
S1,30,HAT-PH_d_001-t_1500-mi_500,25.54,10.0,315.65,0.0008,2257.52
S1,30,HAT-PH_d_001-t_1500-mi_1000,21.35,10.0,320.71,0.0009,2253.13
S2,30,Mean,14.44,15.0,117.38,0.0003,1760.27
S2,30,HT,14.69,12.0,278.2,0.0007,2783.98
S2,30,HAT-PH_d_0005-t_500-mi_500,46.37,23.0,315.56,0.0008,2262.06
S2,30,HAT-PH_d_0005-t_500-mi_1000,35.88,20.0,317.63,0.0009,2255.34
S2,30,HAT-PH_d_0005-t_1000-mi_500,46.55,25.0,303.42,0.0008,2262.9
S2,30,HAT-PH_d_0005-t_1000-mi_1000,37.29,19.0,324.86,0.0009,2256.7
S2,30,HAT-PH_d_0005-t_1500-mi_500,45.32,26.0,311.1,0.0008,2261.17
S2,30,HAT-PH_d_0005-t_1500-mi_1000,42.89,22.0,306.68,0.0008,2254.34
S2,30,HAT-PH_d_001-t_500-mi_500,43.75,25.0,313.38,0.0008,2261.33
S2,30,HAT-PH_d_001-t_500-mi_1000,35.88,20.0,306.96,0.0008,2255.32
S2,30,HAT-PH_d_001-t_1000-mi_500,45.88,24.0,308.81,0.0008,2261.85
S2,30,HAT-PH_d_001-t_1000-mi_1000,44.29,22.0,316.91,0.0009,2255.11
S2,30,HAT-PH_d_001-t_1500-mi_500,42.92,22.0,308.12,0.0008,2261.04
S2,30,HAT-PH_d_001-t_1500-mi_1000,39.91,23.0,320.11,0.0009,2254.81
S1,30,Mean,11.92,12.0,114.91,0.0003,1760.0
S1,30,HT,11.8,8.0,279.69,0.0008,2866.81
S1,30,HAT-PH_d_0005-t_500-mi_500,27.75,10.0,309.88,0.0008,2256.52
S1,30,HAT-PH_d_0005-t_500-mi_1000,23.25,9.0,298.56,0.0008,2248.45
S1,30,HAT-PH_d_0005-t_1000-mi_500,27.09,9.0,311.42,0.0008,2255.66
S1,30,HAT-PH_d_0005-t_1000-mi_1000,25.01,10.0,313.2,0.0008,2251.05
S1,30,HAT-PH_d_0005-t_1500-mi_500,30.78,11.0,313.06,0.0008,2256.32
S1,30,HAT-PH_d_0005-t_1500-mi_1000,28.71,10.0,316.85,0.0009,2250.02
S1,30,HAT-PH_d_001-t_500-mi_500,29.59,11.0,303.11,0.0008,2255.78
S1,30,HAT-PH_d_001-t_500-mi_1000,23.25,9.0,307.29,0.0008,2248.45
S1,30,HAT-PH_d_001-t_1000-mi_500,26.04,11.0,313.91,0.0008,2255.34
S1,30,HAT-PH_d_001-t_1000-mi_1000,24.18,10.0,316.65,0.0009,2253.9
S1,30,HAT-PH_d_001-t_1500-mi_500,25.54,10.0,315.65,0.0008,2257.52
S1,30,HAT-PH_d_001-t_1500-mi_1000,21.35,10.0,320.71,0.0009,2253.13
S2,30,Mean,14.44,15.0,117.38,0.0003,1760.27
S2,30,HT,14.69,12.0,278.2,0.0007,2783.98
S2,30,HAT-PH_d_0005-t_500-mi_500,46.37,23.0,315.56,0.0008,2262.06
S2,30,HAT-PH_d_0005-t_500-mi_1000,35.88,20.0,317.63,0.0009,2255.34
S2,30,HAT-PH_d_0005-t_1000-mi_500,46.55,25.0,303.42,0.0008,2262.9
S2,30,HAT-PH_d_0005-t_1000-mi_1000,37.29,19.0,324.86,0.0009,2256.7
S2,30,HAT-PH_d_0005-t_1500-mi_500,45.32,26.0,311.1,0.0008,2261.17
S2,30,HAT-PH_d_0005-t_1500-mi_1000,42.89,22.0,306.68,0.0008,2254.34
S2,30,HAT-PH_d_001-t_500-mi_500,43.75,25.0,313.38,0.0008,2261.33
S2,30,HAT-PH_d_001-t_500-mi_1000,35.88,20.0,306.96,0.0008,2255.32
S2,30,HAT-PH_d_001-t_1000-mi_500,45.88,24.0,308.81,0.0008,2261.85
S2,30,HAT-PH_d_001-t_1000-mi_1000,44.29,22.0,316.91,0.0009,2255.11
S2,30,HAT-PH_d_001-t_1500-mi_500,42.92,22.0,308.12,0.0008,2261.04
S2,30,HAT-PH_d_001-t_1500-mi_1000,39.91,23.0,320.11,0.0009,2254.81
S3,30,Mean,21.79,20.0,120.7,0.0003,1762.48
S3,30,HT,17.54,16.0,272.62,0.0007,2725.74
S3,30,HAT-PH_d_0005-t_500-mi_500,37.33,20.0,306.01,0.0008,2269.96
S3,30,HAT-PH_d_0005-t_500-mi_1000,35.9,20.0,317.94,0.0009,2262.66
S3,30,HAT-PH_d_0005-t_1000-mi_500,37.61,21.0,313.42,0.0008,2268.6
S3,30,HAT-PH_d_0005-t_1000-mi_1000,37.5,21.0,321.0,0.0009,2260.01
S3,30,HAT-PH_d_0005-t_1500-mi_500,39.98,22.0,317.55,0.0009,2268.28
S3,30,HAT-PH_d_0005-t_1500-mi_1000,30.19,18.0,317.91,0.0009,2261.69
S3,30,HAT-PH_d_001-t_500-mi_500,36.16,20.0,313.49,0.0008,2268.99
S3,30,HAT-PH_d_001-t_500-mi_1000,35.9,20.0,318.66,0.0009,2262.67
S3,30,HAT-PH_d_001-t_1000-mi_500,39.23,22.0,317.92,0.0009,2268.45
S3,30,HAT-PH_d_001-t_1000-mi_1000,35.19,21.0,309.31,0.0008,2260.72
S3,30,HAT-PH_d_001-t_1500-mi_500,39.38,21.0,308.92,0.0008,2268.58
S3,30,HAT-PH_d_001-t_1500-mi_1000,34.37,20.0,294.91,0.0008,2260.81
S1,30,HAT-PH_d_01-t_10-mi_2000,20.83,9.0,262.99,0.0007,2257.72
S1,30,HAT-PH_d_01-t_10-mi_3000,21.07,10.0,295.7,0.0008,2270.56
S1,30,HAT-PH_d_01-t_200-mi_2000,20.81,9.0,262.16,0.0007,2252.76
S1,30,HAT-PH_d_01-t_200-mi_3000,21.1,10.0,318.88,0.0009,2267.25
S1,30,HAT-PH_d_1e-05-t_10-mi_2000,20.83,9.0,232.21,0.0006,2257.66
S1,30,HAT-PH_d_1e-05-t_10-mi_3000,21.07,10.0,274.8,0.0007,2270.6
S1,30,HAT-PH_d_1e-05-t_200-mi_2000,19.62,9.0,284.28,0.0008,2258.31
S1,30,HAT-PH_d_1e-05-t_200-mi_3000,21.07,10.0,287.38,0.0008,2270.56
S1,30,HAT-PH_d_00001-t_10-mi_2000,20.83,9.0,313.32,0.0008,2257.65
S1,30,HAT-PH_d_00001-t_10-mi_3000,21.07,10.0,229.06,0.0006,2270.56
S1,30,HAT-PH_d_00001-t_200-mi_2000,19.62,9.0,300.15,0.0008,2258.29
S1,30,HAT-PH_d_00001-t_200-mi_3000,21.07,10.0,270.66,0.0007,2270.57
S1,30,HAT-PH_d_01-t_10-mi_2000,20.83,9.0,262.99,0.0007,2257.72
S1,30,HAT-PH_d_01-t_10-mi_3000,21.07,10.0,295.7,0.0008,2270.56
S1,30,HAT-PH_d_01-t_200-mi_2000,20.81,9.0,262.16,0.0007,2252.76
S1,30,HAT-PH_d_01-t_200-mi_3000,21.1,10.0,318.88,0.0009,2267.25
S1,30,HAT-PH_d_1e-05-t_10-mi_2000,20.83,9.0,232.21,0.0006,2257.66
S1,30,HAT-PH_d_1e-05-t_10-mi_3000,21.07,10.0,274.8,0.0007,2270.6
S1,30,HAT-PH_d_1e-05-t_200-mi_2000,19.62,9.0,284.28,0.0008,2258.31
S1,30,HAT-PH_d_1e-05-t_200-mi_3000,21.07,10.0,287.38,0.0008,2270.56
S1,30,HAT-PH_d_00001-t_10-mi_2000,20.83,9.0,313.32,0.0008,2257.65
S1,30,HAT-PH_d_00001-t_10-mi_3000,21.07,10.0,229.06,0.0006,2270.56
S1,30,HAT-PH_d_00001-t_200-mi_2000,19.62,9.0,300.15,0.0008,2258.29
S1,30,HAT-PH_d_00001-t_200-mi_3000,21.07,10.0,270.66,0.0007,2270.57
S2,30,HAT-PH_d_01-t_10-mi_2000,28.87,17.0,298.99,0.0008,2263.21
S2,30,HAT-PH_d_01-t_10-mi_3000,30.67,17.0,258.63,0.0007,2267.29
S2,30,HAT-PH_d_01-t_200-mi_2000,30.97,17.0,277.29,0.0007,2264.72
S2,30,HAT-PH_d_01-t_200-mi_3000,23.76,15.0,302.96,0.0008,2274.5
S2,30,HAT-PH_d_1e-05-t_10-mi_2000,28.87,17.0,260.1,0.0007,2263.19
